sample	chrM_depth
MAid261_AK29	921.65
MAid261_AK32	948.85
MAid261_AK35	607.15
MAid261_AK41	1196.34
MAid261_AK44	965.34
MAid261_AK50	344.51
MAid261_AK53	676.50
MAid261_AK59	483.28
MAid261_AK62	456.93
MAid261_AK71	448.97
MAid261_AK73	457.52
MAid261_AK77	1173.92
MAid261_AK79	623.94
MAid261_AK87	284.56
MAid261_AK89	485.12
MAid261_AK93	364.30
MAid261_AK114	8942.88
MAid261_AK148	10062.29
MAid261_AK154	8828.56
MAid261_AK158	7769.18
MAid261_AK160	10473.17
MAid261_AK162	10079.07
MAid261_AK164	10293.19
MAid261_AK165	9023.73
MAid261_AK166	14784.76
MAid261_AK167	10202.35
MAid261_AK169	16941.45
MAid261_AK171	22782.21
MAid261_AK174	2792.76
MAid261_AK175	6696.68
MAid261_AK177	4024.58
MAid261_AK183	7357.04
MAid261_AK184	2319.58
MAid261_AK186	7547.71
MAid261_AK187	698.26
MAid261_AK190	7938.20
MAid261_AK191	8916.21
MAid261_AK200	8104.02
AK205	1048.65
AK206	710.52
AK207	1126.12
AK208	626.64
AK209	683.03
AK210	813.93
AK211	968.37
AK212	825.70
AK213	751.02
AK214	767.67
AK215	862.81
AK216	937.96
AK217	670.92
AK218	725.18
AK219	477.80
AK220	593.88
AK221	473.86
AK222	639.49
AK223	544.42
AK224	663.67
AK225	647.03
AK226	429.08
AK227	546.48
AK228	607.50
AK229	712.28
AK230	692.94
AK231	942.18
AK232	745.44
AK233	608.30
AK234	832.85
